Name,Park,Location,Opening Date,Length,Height,Drop,Speed,Inversions,Vertical Angle,Duration,RCDB Link
"Vortex","Calaway Park","Calgary, Alberta, Canada",1982,,,70,,2,,,https://rcdb.com/317.htm
"Psyké Underground","Walibi Belgium","Wavre, Walloon Brabant, Belgium",1982,722,137.8,,53,1,70,0:35,https://rcdb.com/921.htm
"SpeedSnake FREE","Fort Fun Abenteuerland","Wasserfall, North Rhine-Westphalia, Germany",1982,1148.3,64,,37.3,2,,1:00,https://rcdb.com/1004.htm
"Looping Star","Nagashima Spa Land","Nagashima, Kuwana, Mie, Japan",1982,1942.3,80.4,,47.8,1,,1:18,https://rcdb.com/1178.htm
"Fantastic Coaster Rowdy","Hirakata Park","Hirakata, Osaka, Japan",1982,,,,,0,,1:34,https://rcdb.com/1305.htm
"Loop Coaster","Mangyongdae Funfair","Pyongyang, North Korea",1982,,,,,1,,,https://rcdb.com/2883.htm
"Kwansong Tancha","Mangyongdae Funfair","Pyongyang, North Korea",1982,,,,,0,,,https://rcdb.com/2884.htm
"Bobster","Shirakaba Resort Family Land","Koshoku, Nagano, Japan",3/30/1982,,,,,0,,,https://rcdb.com/1809.htm
"Viper","Darien Lake","Darien Center, New York, USA",5/1982,3100,121,75,50,5,,2:04,https://rcdb.com/224.htm
"Flitzer","Morey's Piers","Flitzer will close on 9/30/2018",1983,,,,,0,,,https://rcdb.com/160.htm
"Dragon Mountain","Marineland Theme Park","Niagara Falls, Ontario, Canada",1983,5500,186,,50,4,,3:30,https://rcdb.com/185.htm
"Colossus the Fire Dragon","Lagoon","Farmington, Utah, USA",1983,2296.6,86.9,,49.1,2,,1:45,https://rcdb.com/197.htm
"Ice Mountain Bobsled","Enchanted Forest","Turner, Oregon, USA",1983,1600,,,,0,,2:30,https://rcdb.com/238.htm
"Timberline Twister","Knott's Berry Farm","Buena Park, California, USA",1983,480,30,,,0,,0:55,https://rcdb.com/293.htm
"Big Loop","Heide Park Resort","Soltau, Lower Saxony, Germany",1983,2316.3,98.4,,39.2,4,,,https://rcdb.com/986.htm
"Marienkäfer Hochbahn","Churpfalzpark","Loifling, Bavaria, Germany",1983,197.5,10.8,,16.2,0,,,https://rcdb.com/1013.htm
"Chura Racer","Serengeti Park","Hodenhagen, Lower Saxony, Germany",1983,1181.1,26.3,,22.4,0,,,https://rcdb.com/1016.htm
"Children Coaster","Nagashima Spa Land","Nagashima, Kuwana, Mie, Japan",1983,652.9,19.7,,19.9,0,,1:28,https://rcdb.com/1181.htm
"Super LS Coaster","Kijima Kogen","Beppu, Ōita, Japan",1983,2427.8,,,48.5,3,,2:12,https://rcdb.com/1255.htm
"Corkscrew","Rusutsu Resort","Rusutsu, Abuta, Shiribeshi, Hokkaido, Japan",1983,,,,,2,,1:20,https://rcdb.com/1262.htm
"Camel Coaster","Nasu Highland Park","Nasu, Nasu, Tochigi, Japan",1983,3937,94.8,,49.7,0,,2:54,https://rcdb.com/1264.htm
"Montaña Rusa","Diverland","Pampatar, Nueva Esparta, Venezuela",1983,,,,,4,,,https://rcdb.com/1650.htm
"Double Loop Coaster","Mangyongdae Funfair","Pyongyang, North Korea",1983,,,,,2,,,https://rcdb.com/2871.htm
